"C1_r_bar","C1_delta_0","C1_delta_P","C1_delta_E","C1_delta_EP"
0.149086564549812,0.151750448126621,4.64336458172454e-10,-0.00266388357639613,-4.64749655426644e-10
0.147901829213101,0.150695792865389,4.23161505835878e-13,-0.00279396365246129,-2.49578135935735e-13
0.148583880884029,0.150978411133644,-2.81115991596081e-10,-0.00239453024963612,2.81136974811247e-10
0.153408020492786,0.155785921042762,0,-0.0023779005501772,2.00922611881538e-13
0.146810389169364,0.149357374489891,-1.6033571692553e-10,-0.00254698532050762,1.60316926400839e-10
0.1542723046117,0.157023813884985,-1.29221550126957e-10,-0.00275150927307591,1.29012078797786e-10
0.149497201254065,0.152071811151937,4.01584071552108e-10,-0.00257460989771996,-4.01735533728242e-10
0.146617123372659,0.149499762517962,1.73457276320121e-10,-0.00288263914597359,-1.72786285279614e-10
0.152162688772305,0.154997324665356,-4.36319286256648e-10,-0.00283463589323452,4.36502750611467e-10
0.147394322281753,0.150242410228222,-1.08316661195929e-10,-0.00284808794641056,1.08258402242711e-10
0.146652536100047,0.149868351260895,-1.94289029309402e-16,-0.00321581516066227,-1.8579582317102e-13
0.149368370059182,0.152150232915594,0,-0.00278186285641413,2.44249065417534e-15
0.143564988847162,0.146489435884763,1.15201598260839e-10,-0.00292444703775568,-1.15047055215811e-10
0.144290489343236,0.147089202423168,-3.04799657735444e-10,-0.00279871307986593,3.04733543954328e-10
0.145721638239649,0.148924695211877,-5.34053079537244e-11,-0.00320305697238038,5.35574085080981e-11
0.149748025023201,0.15267210917506,0,-0.0029240841520789,2.19657625422087e-13
0.150736592543795,0.153270299070211,2.78311346191273e-10,-0.00253370652653837,-2.78188361235721e-10
0.150522792537359,0.153132990897915,5.91302840025065e-11,-0.00261019836068216,-5.90037740888505e-11
0.147314782740038,0.150322293969159,-2.21401230682261e-10,-0.00300751122909979,2.21379636844432e-10
0.152401018231409,0.154693270625796,-4.22342716355217e-10,-0.00229225239435907,4.22314350156938e-10
0.151615682781723,0.154375574841208,-1.2050452302681e-10,-0.00275989205949179,1.20511101098231e-10
0.145379893866132,0.147852494497071,-5.19278786637045e-11,-0.00247260063081164,5.18003973049019e-11
0.146403021044872,0.149454915121216,1.08193731751527e-10,-0.00305189407623005,-1.08307224300219e-10
0.147111058919546,0.150244436512872,5.41393319064554e-11,-0.00313337759316429,-5.43008138453871e-11
0.15056503695907,0.153235989428559,-2.94524349353509e-10,-0.00267095246944155,2.94477026097084e-10
0.153491984093618,0.156043499597376,-1.94289029309402e-16,-0.00255151550373658,-2.11497486191092e-14
0.146504740121309,0.149217546915533,2.6987917456367e-10,-0.00271280679445529,-2.69647443262855e-10
0.144269435450578,0.147546875839988,-1.07944181371167e-10,-0.00327744038905078,1.07584885444822e-10
0.148065372838139,0.151192433360032,1.67135305595423e-10,-0.00312706052209433,-1.66933689094151e-10
0.146500235925922,0.14929834608058,-1.59118773712663e-10,-0.00279811015458326,1.59044694081345e-10
0.153648808817986,0.15640489312307,3.15965836827914e-10,-0.00275608430509663,-3.15952958240828e-10
0.154997178245397,0.157773274309067,0,-0.00277609606379187,1.21930243679458e-13
0.152205827381235,0.155052362861644,-6.22423224072577e-11,-0.00284653548057981,6.24129081749913e-11
0.145882279934755,0.148559150017317,7.72626129741383e-11,-0.00267687008251508,-7.73097419415336e-11
0.145953602283604,0.148421816812103,0,-0.00246821452841614,-8.26005930321116e-14
0.145343894507409,0.148253659167574,-3.98986399474666e-13,-0.00290976466090551,1.13986597938265e-12
